nm,lineA1,lineA2,LineB1,LineB2,LineC1,LineC2
522,0.01192,0.01076,0.01378,0.01216,0.01569,0.0145
522.5,0.00987,0.01093,0.01257,0.01274,0.01575,0.01372
523,0.00923,0.01117,0.01263,0.01189,0.01639,0.01541
523.5,0.01003,0.01199,0.0136,0.01253,0.01479,0.01479
524,0.0103,0.01111,0.01245,0.01286,0.01642,0.015
524.5,0.01041,0.01009,0.01271,0.01112,0.01613,0.01549
525,0.01091,0.01096,0.0139,0.01166,0.01622,0.01514
525.5,0.01073,0.01126,0.01361,0.01381,0.01581,0.01633
526,0.01006,0.01172,0.01253,0.01212,0.0162,0.01509
526.5,0.01138,0.01117,0.01395,0.01244,0.01704,0.01472
527,0.01074,0.01254,0.01335,0.0123,0.01688,0.01431
527.5,0.01108,0.01184,0.01364,0.01233,0.01761,0.01521
528,0.01068,0.01215,0.01454,0.01315,0.01822,0.01579
528.5,0.01129,0.01346,0.0137,0.01244,0.01793,0.01518
529,0.01126,0.01341,0.01395,0.0132,0.01767,0.01584
529.5,0.01112,0.01233,0.01472,0.01367,0.01871,0.01637
530,0.0127,0.01228,0.01477,0.01422,0.01839,0.01689
530.5,0.01193,0.01329,0.01509,0.01376,0.01945,0.01723
531,0.01221,0.01305,0.01518,0.01379,0.01756,0.01688
531.5,0.0118,0.01274,0.01405,0.01347,0.01785,0.01567
532,0.0121,0.01283,0.01416,0.0137,0.0172,0.01556
532.5,0.01157,0.01239,0.01468,0.0137,0.01849,0.0172
533,0.0099,0.01184,0.01422,0.01372,0.01749,0.01671
533.5,0.01125,0.01265,0.01407,0.01242,0.01804,0.01659
534,0.01091,0.01233,0.01418,0.0132,0.01891,0.01631
534.5,0.0117,0.01277,0.0144,0.01379,0.01846,0.01534
535,0.01202,0.01292,0.01468,0.013,0.01773,0.01656
535.5,0.01257,0.01251,0.01372,0.01318,0.01694,0.01743
536,0.01233,0.01317,0.015,0.01373,0.0183,0.01669
536.5,0.01198,0.013,0.01436,0.01498,0.01839,0.01685
537,0.01202,0.01237,0.01407,0.01262,0.01849,0.01724
537.5,0.01244,0.01306,0.01457,0.01283,0.01823,0.01538
538,0.01175,0.01257,0.01479,0.01309,0.01947,0.01714
538.5,0.01239,0.01199,0.01515,0.01395,0.01833,0.01738
539,0.01216,0.01382,0.01485,0.0135,0.01833,0.01689
