nm;bby70;bby72;bby74;bby76;bby78;bby80;bby82;bby84;bby86;bby88;bby90;LHCII;PSII core;PSI maize;C2S2M2;GoodFig2A;OffSetFig2B;ScatFig2C;DegrFig2D;a/b_9_F5;
524;0.064455;0.064345;0.06429;0.06455;0.06435;0.06423;0.06434;0.06338;0.06417;0.064125;0.06369;0.071976861;0.053406378;0.04870547;0.064448308;0.053923333;0.073923333;0.097079305;0.061595113;0.033550605;
524.4;0.06471;0.064565;0.064485;0.0648;0.064645;0.06454;0.064655;0.063705;0.064315;0.064525;0.06403;0.07248415;0.053192141;0.048712177;0.064316251;0.05403;0.07403;0.097065047;0.061654479;0.034277512;
524.8;0.06489;0.064495;0.064605;0.06495;0.065;0.06459;0.06491;0.064;0.06461;0.06481;0.06437;0.072930075;0.052916692;0.048761754;0.064865219;0.054306667;0.074306667;0.097220974;0.062173058;0.034815947;
525.2;0.065025;0.064845;0.06484;0.065175;0.06526;0.064915;0.065185;0.064345;0.064945;0.06514;0.06473;0.073437517;0.053039114;0.04865153;0.06530209;0.05456;0.07456;0.097353751;0.062399048;0.035290067;
525.6;0.065405;0.065135;0.065195;0.06551;0.065535;0.06523;0.065455;0.06472;0.065265;0.065465;0.06518;0.073744033;0.053192141;0.048665089;0.065576071;0.054636667;0.074636667;0.097310044;0.062516572;0.0355623;
526;0.06553;0.065405;0.065345;0.065725;0.065835;0.065515;0.06563;0.065075;0.06563;0.06584;0.065535;0.074416591;0.052824876;0.048896683;0.065630052;0.054953333;0.074953333;0.097506521;0.062912445;0.036353185;
526.4;0.065795;0.06552;0.06551;0.06596;0.06612;0.065765;0.065975;0.0654;0.066055;0.066165;0.065995;0.074801305;0.052947298;0.048906695;0.065853242;0.0552;0.0752;0.097633181;0.063358206;0.036668148;
526.8;0.06616;0.06595;0.06591;0.06632;0.0665;0.06615;0.06639;0.065735;0.06631;0.066545;0.06631;0.075315478;0.053069719;0.049047017;0.066596683;0.05535;0.07535;0.097663356;0.06375292;0.037192833;
527.2;0.066505;0.06628;0.066325;0.066725;0.06681;0.0665;0.0668;0.0662;0.06686;0.066915;0.06683;0.076082915;0.053253351;0.049044265;0.066966713;0.055623333;0.075623333;0.097817046;0.063980022;0.037558402;
527.6;0.06669;0.06648;0.066515;0.066905;0.067055;0.066715;0.066975;0.06635;0.06713;0.067235;0.06702;0.076596631;0.053253351;0.049265126;0.067125161;0.055986667;0.075986667;0.098060918;0.064092594;0.037991282;
528;0.067345;0.06712;0.06698;0.06757;0.067625;0.06731;0.06758;0.067115;0.06769;0.067955;0.067705;0.077099787;0.053008508;0.04938847;0.067328081;0.056293333;0.076293333;0.098248304;0.064842072;0.038731456;
528.4;0.0675;0.06735;0.067225;0.067695;0.0678;0.06761;0.067955;0.06729;0.068235;0.068155;0.06792;0.077601412;0.052977903;0.04944057;0.067962045;0.056533333;0.076533333;0.098369204;0.064888286;0.039039357;
528.8;0.06767;0.067525;0.067515;0.068005;0.068115;0.06783;0.068105;0.06762;0.068415;0.06857;0.068275;0.078237552;0.053406378;0.049576475;0.068252339;0.056503333;0.076503333;0.098220284;0.06524404;0.039476991;
529.2;0.068075;0.067905;0.06794;0.06841;0.068535;0.0683;0.068535;0.067965;0.06878;0.06896;0.06871;0.07895464;0.053467589;0.04980481;0.068490523;0.05709;0.07709;0.098688211;0.065832799;0.040056381;
529.6;0.068445;0.068185;0.06839;0.068715;0.068765;0.068535;0.068785;0.06844;0.069015;0.069315;0.069005;0.079343486;0.053620616;0.049969082;0.068759231;0.057246667;0.077246667;0.098726317;0.066648253;0.039849498;
530;0.068895;0.06871;0.06891;0.069115;0.06937;0.069;0.069325;0.068895;0.06956;0.069825;0.06953;0.079872046;0.053620616;0.049934982;0.069204772;0.057426667;0.077426667;0.098787935;0.066887268;0.040480165;
530.4;0.069165;0.068965;0.069135;0.06939;0.06953;0.069395;0.06966;0.069095;0.069945;0.070125;0.06983;0.080436414;0.054171513;0.050017354;0.069520853;0.058;0.078;0.099243065;0.067176784;0.04099712;
530.8;0.069735;0.0695;0.06973;0.06999;0.070185;0.06982;0.07011;0.069705;0.070375;0.070665;0.07046;0.080895345;0.054355145;0.050197131;0.070026394;0.058246667;0.078246667;0.099371707;0.067667075;0.0405384;
531.2;0.07012;0.06983;0.07004;0.070395;0.07046;0.070195;0.070485;0.070035;0.07081;0.070995;0.070725;0.081620699;0.054844831;0.050282146;0.070566672;0.05841;0.07841;0.099417193;0.068652482;0.041753637;
531.6;0.07052;0.07034;0.070455;0.07067;0.070965;0.0707;0.07103;0.070565;0.07121;0.07145;0.071225;0.081855291;0.054630593;0.050328586;0.070637225;0.0586;0.0786;0.099489523;0.069143783;0.041684914;
532;0.070665;0.07058;0.070715;0.07098;0.071265;0.07085;0.071205;0.070745;0.071485;0.071655;0.071405;0.082428229;0.054722409;0.050399101;0.071321709;0.058883333;0.078883333;0.099655363;0.069285975;0.042367051;
532.4;0.071135;0.07094;0.07113;0.071385;0.071635;0.07126;0.07154;0.07114;0.071835;0.07206;0.071865;0.082956789;0.055212095;0.050377296;0.07149305;0.059196667;0.079196667;0.09985138;0.069595739;0.042582121;
532.8;0.07139;0.071255;0.071315;0.07169;0.07186;0.07155;0.07198;0.071405;0.07213;0.07237;0.07209;0.083223058;0.055518149;0.050570756;0.07187517;0.059376667;0.079376667;0.09991424;0.070004341;0.042600096;
533.2;0.07171;0.071595;0.07167;0.072035;0.07225;0.07196;0.0722;0.071825;0.072425;0.072745;0.072425;0.084016203;0.055732387;0.050652621;0.072108609;0.059626667;0.079626667;0.100047275;0.070429634;0.043093175;
533.6;0.07221;0.072025;0.07221;0.07257;0.07273;0.07231;0.072675;0.072285;0.07301;0.07318;0.072875;0.08419999;0.055487544;0.050644783;0.072355729;0.05999;0.07999;0.100293819;0.070858647;0.043127017;
534;0.072495;0.0723;0.072485;0.072855;0.072915;0.072675;0.072935;0.07246;0.07317;0.07333;0.0731;0.084899941;0.055732387;0.050802266;0.072737849;0.06029;0.08029;0.100477205;0.070822293;0.043251811;
534.4;0.07265;0.072635;0.07286;0.07311;0.07332;0.07288;0.073185;0.072695;0.073405;0.073685;0.073435;0.085314036;0.056069046;0.050820721;0.073101815;0.06058;0.08058;0.100650766;0.071230482;0.043392104;
