nm,Beta80
568,193.6489688
568.4,156.0200932
568.8,150.0354355
569.2,126.0657278
569.6,181.6184268
570,129.0145519
570.4,151.1735608
570.8,125.1380407
571.2,128.8380866
571.6,110.180104
572,80.38132771
572.4,131.7345192
572.8,89.31269018
573.2,111.6713704
573.6,102.47726
574,96.24508256
574.4,112.2922795
574.8,134.8441074
575.2,113.0384626
575.6,106.5698976
576,94.69478803
576.4,97.48715938
576.8,69.90710414
577.2,89.05287782
577.6,77.49891571
578,89.54504068
578.4,84.68115406
578.8,46.61210025
579.2,7.494230467
579.6,107.3246741
580,10.518282
580.4,-45.132015
580.8,4.632606212
581.2,-65.08654813
581.6,-51.74860682
582,-68.38813459
582.4,3.612713801
582.8,27.28560531
583.2,29.46877491
583.6,26.96119112
584,-11.26076988
584.4,-3.889134661
584.8,14.09792101
585.2,-27.28082779
585.6,-11.08460155
586,-7.247964574
586.4,-17.60010729
586.8,19.43260007
587.2,17.75864308
587.6,-28.11936884
588,-22.08202141
588.4,3.278107235
588.8,-1.716854248
589.2,-57.25686916
589.6,4.995356552
590,-34.02975206
590.4,-1.878887935
590.8,-2.72109457
591.2,-3.865092004
591.6,-14.10472504
592,-56.76306586
592.4,-8.741532004
592.8,-24.2227998
593.2,22.54485568
593.6,14.16700352
594,2.130082832
594.4,-35.96521672
594.8,12.60477866
595.2,0.472915316
595.6,-26.05424278
596,-3.330519404
596.4,-35.6680224
596.8,25.60472311
597.2,-25.35027689
597.6,-4.372895341
598,-15.76554751
598.4,-2.22300699
598.8,-0.401121541
599.2,-52.00132702
599.6,-30.62882585
600,0
600.4,-50.97504717
600.8,-37.54339379
601.2,-23.48030719
601.6,14.13996734
602,-28.96041643
602.4,-17.07044136
602.8,-3.928370701
603.2,-19.31984969
603.6,-24.05403728
604,-15.15912976
604.4,-19.97538697
604.8,-19.6079415
605.2,-32.59512379
605.6,-21.79051417
606,-20.0269842
606.4,-24.95654621
606.8,-24.28701382
607.2,-7.33453955
607.6,-12.70214993
608,-32.52275332
608.4,-51.66950087
608.8,-25.3898635
609.2,-56.26495341
609.6,-42.72738196
610,-39.72414217
610.4,-30.94433552
610.8,-73.78321422
