nm,Chl_b90
604,9961.60911
604.4,9898.12433
604.8,9789.62596
605.2,9707.90195
605.6,9625.87338
606,9549.52135
606.4,9439.26616
606.8,9389.29217
607.2,9302.90668
607.6,9225.5873
608,9162.09261
608.4,9117.87584
608.8,9057.43419
609.2,8984.8622
609.6,8939.97248
610,8905.68636
610.4,8856.74771
610.8,8839.97936
611.2,8799.21666
611.6,8764.91638
612,8766.89575
612.4,8739.64281
612.8,8719.56041
613.2,8716.79976
613.6,8696.00642
614,8677.39894
614.4,8665.07689
614.8,8658.29905
615.2,8640.67155
615.6,8638.77026
616,8618.24711
616.4,8628.70692
616.8,8612.33025
617.2,8611.4281
617.6,8623.21051
618,8614.90182
618.4,8612.36821
618.8,8624.57597
619.2,8620.04835
619.6,8633.64073
620,8644.27329
620.4,8669.01343
620.8,8707.75899
621.2,8718.34191
621.6,8777.14026
622,8823.25203
622.4,8866.28343
622.8,8951.74446
623.2,9015.75959
623.6,9110.68205
624,9249.90063
624.4,9365.95447
624.8,9520.94182
625.2,9689.82456
625.6,9869.79638
626,10048.58075
626.4,10272.79349
626.8,10513.78852
627.2,10796.13391
627.6,11077.35772
628,11397.8825
628.4,11744.11372
628.8,12126.59324
629.2,12528.84632
629.6,12964.56402
630,13428.50806
630.4,13968.68547
630.8,14502.90002
631.2,15082.207
631.6,15686.59828
632,16336.29331
632.4,17050.18609
632.8,17799.32146
633.2,18566.89967
633.6,19398.39605
634,20254.77261
634.4,21145.552
634.8,22082.10098
635.2,23065.38483
635.6,24084.38704
636,25140.20757
636.4,26210.90756
636.8,27330.56421
637.2,28489.64756
637.6,29637.94139
638,30824.80984
638.4,32033.12511
638.8,33219.32971
639.2,34446.35525
639.6,35655.30023
640,36847.20719
640.4,38016.99944
640.8,39151.2917
641.2,40289.56947
641.6,41315.58266
642,42316.27665
642.4,43278.97811
642.8,44150.56619
643.2,44923.54491
643.6,45670.81547
644,46269.91489
644.4,46829.03324
644.8,47217.85852
645.2,47504.66117
645.6,47740.76726
646,47822.16965
646.4,47794.78595
646.8,47664.209
647.2,47403.44202
647.6,47049.88641
648,46564.13802
648.4,45963.95495
648.8,45280.26307
649.2,44522.68853
649.6,43617.73627
650,42686.45415
650.4,41654.60801
650.8,40573.06398
651.2,39426.01397
651.6,38222.76629
652,36982.9767
652.4,35718.06562
652.8,34428.57776
653.2,33119.01267
653.6,31790.18091
654,30449.68285
654.4,29157.64382
654.8,27833.49222
655.2,26543.60304
655.6,25263.13434
656,24000.9997
656.4,22791.52381
656.8,21599.03947
657.2,20431.5785
657.6,19334.75718
658,18269.79883
658.4,17250.83225
658.8,16293.94009
659.2,15339.54627
659.6,14455.90773
660,13594.23945
660.4,12789.5742
660.8,12039.24241
661.2,11269.8963
661.6,10588.84348
662,9918.75884
662.4,9310.41456
662.8,8721.54898
663.2,8193.40821
663.6,7686.9604
664,7208.74129
664.4,6749.25009
664.8,6336.61987
665.2,5938.3115
665.6,5566.53263
666,5202.12198
666.4,4857.1992
666.8,4589.52981
667.2,4277.26861
667.6,3995.52829
668,3728.71613
668.4,3516.74149
668.8,3283.33837
669.2,3062.50047
669.6,2871.67667
670,2691.69481
670.4,2525.91895
670.8,2370.87138
671.2,2239.27821
671.6,2078.42078
672,1945.91569
672.4,1828.23303
672.8,1727.05581
673.2,1593.65579
673.6,1504.92359
674,1409.90883
674.4,1328.21579
674.8,1272.67493
675.2,1173.41516
675.6,1096.65098
676,1060.05311
676.4,989.61723
676.8,926.01372
677.2,859.72989
677.6,818.66045
678,771.27132
678.4,733.99833
678.8,701.76345
679.2,666.5715
679.6,635.14198
680,587.27134
680.4,585.3488
680.8,553.26096
681.2,521.22409
681.6,503.30258
682,459.28352
682.4,438.64114
682.8,439.19293
683.2,399.71941
683.6,393.02516
684,369.05998
684.4,363.6635
684.8,344.26991
685.2,317.50615
685.6,322.4121
686,310.68313
686.4,297.44843
686.8,289.7095
687.2,266.78254
687.6,276.81722
688,269.98345
688.4,251.2643
688.8,250.2438
689.2,243.96876
689.6,233.32728
690,246.15914
690.4,231.55334
690.8,203.77339
691.2,210.98896
691.6,219.07109
692,219.44892
692.4,187.78825
692.8,202.30737
693.2,204.90765
693.6,183.05996
694,176.2427
694.4,179.34826
694.8,143.84652
695.2,153.31118
695.6,144.52745
696,147.61559
696.4,156.60329
696.8,140.3089
697.2,132.74137
697.6,167.54564
698,162.33252
698.4,137.18854
698.8,120.6078
699.2,136.49363
699.6,140.46109
700,115.74308
700.4,121.35741
700.8,124.56866
701.2,144.56039
701.6,118.34345
702,142.61999
702.4,102.75308
702.8,106.02689
703.2,119.32811
703.6,119.90362
704,107.21872
704.4,104.56382
704.8,96.01508
705.2,123.50901
705.6,90.18711
706,87.37355
706.4,121.22888
706.8,82.00607
707.2,96.91324
707.6,68.67476
708,51.20651
708.4,82.44954
708.8,93.7185
709.2,68.26208
709.6,71.86377
710,67.3296
710.4,33.10844
710.8,61.29393
711.2,46.87233
711.6,66.83831
712,53.68628
712.4,61.14238
712.8,78.74699
713.2,45.26986
713.6,43.54848
714,44.82393
714.4,53.58484
714.8,36.09374
715.2,50.74662
715.6,36.46824
716,38.51908
716.4,31.02349
716.8,53.12209
717.2,34.59151
717.6,42.65899
718,21.83727
718.4,27.92095
718.8,19.26463
719.2,17.14742
719.6,17.33987
720,0.00E+00
720.4,10.5025
720.8,35.22248
721.2,16.24629
721.6,10.80639
722,18.56861
722.4,13.64945
722.8,12.25947
723.2,30.26031
723.6,30.86722
724,-7.62876
724.4,36.87109
724.8,20.45889
725.2,21.96719
725.6,-16.47136
726,3.83153
726.4,4.99671
726.8,1.18367
727.2,11.39173
727.6,15.43652
728,10.08418
728.4,5.69485
728.8,0.98048
729.2,-1.76028
729.6,-23.53123
730,-26.70633
730.4,-45.63092
730.8,-17.35315
731.2,-16.31529
731.6,-45.07874
732,-31.4926
732.4,-53.95368
732.8,-70.08391
733.2,-65.63321
733.6,-63.55306
734,-67.34186
734.4,-93.53807
734.8,-79.89423
735.2,-79.85376
735.6,-59.47167
736,-58.96261
736.4,-55.15289
736.8,-60.38668
737.2,-83.18612
737.6,-66.6284
738,-84.49846
738.4,-113.00981
738.8,-70.10298
739.2,-72.50671
739.6,-77.25614
740,-90.55476
740.4,-81.67965
740.8,-70.60576
741.2,-81.62228
741.6,-70.47262
742,-70.95488
742.4,-95.78715
742.8,-70.82665
743.2,-114.6833
743.6,-83.23412
744,-92.28599
744.4,-115.42788
744.8,-101.59811
745.2,-79.75343
745.6,-92.57758
746,-109.59577
746.4,-88.58026
746.8,-120.4301
747.2,-109.71243
747.6,-136.84296
748,-152.40619
748.4,-159.37768
748.8,-141.14334
749.2,-156.93571
749.6,-149.87455
750,-172.19064
