nm,Chl_a90
548.8,2660.47174
549.2,2654.81677
549.6,2656.15004
550,2668.99952
550.4,2679.30992
550.8,2710.83049
551.2,2713.29421
551.6,2736.15817
552,2752.83539
552.4,2784.88635
552.8,2808.23716
553.2,2851.91453
553.6,2875.93639
554,2904.21249
554.4,2954.22903
554.8,3001.91865
555.2,3042.47756
555.6,3098.13824
556,3143.67067
556.4,3209.8678
556.8,3266.28167
557.2,3327.44597
557.6,3394.46739
558,3474.16508
558.4,3554.00428
558.8,3629.71408
559.2,3705.859
559.6,3780.57834
560,3873.74294
560.4,3961.84916
560.8,4057.57066
561.2,4137.70027
561.6,4249.34619
562,4339.80666
562.4,4446.71722
562.8,4546.4702
563.2,4661.13852
563.6,4757.30533
564,4868.86672
564.4,4966.852
564.8,5092.493
565.2,5196.28021
565.6,5309.63662
566,5413.47625
566.4,5527.14281
566.8,5648.50024
567.2,5749.78564
567.6,5857.24929
568,5951.79684
568.4,6074.38304
568.8,6174.64754
569.2,6279.98062
569.6,6378.84602
570,6499.98191
570.4,6590.0831
570.8,6672.90833
571.2,6763.93734
571.6,6860.06062
572,6947.02415
572.4,7032.47279
572.8,7122.73381
573.2,7195.41735
573.6,7275.97886
574,7346.81653
574.4,7419.49796
574.8,7505.99884
575.2,7565.1243
575.6,7628.13693
576,7693.46777
576.4,7762.00683
576.8,7820.57569
577.2,7874.36865
577.6,7928.39254
578,7982.35367
578.4,8021.08379
578.8,8065.97056
579.2,8101.40336
579.6,8139.44436
580,8162.3399
580.4,8194.48431
580.8,8192.48345
581.2,8224.57333
581.6,8214.59215
582,8230.96167
582.4,8212.23206
582.8,8201.20144
583.2,8170.63096
583.6,8159.81285
584,8122.78335
584.4,8093.59997
584.8,8035.49485
585.2,7996.37226
585.6,7957.46895
586,7902.67149
586.4,7833.5932
586.8,7774.87672
587.2,7721.92681
587.6,7664.65163
588,7606.57048
588.4,7552.47298
588.8,7498.33429
589.2,7440.59864
589.6,7376.34354
590,7316.24344
590.4,7281.51981
590.8,7247.97426
591.2,7227.77336
591.6,7200.22475
592,7166.96838
592.4,7172.53304
592.8,7174.10839
593.2,7181.10956
593.6,7206.40022
594,7233.84833
594.4,7261.71185
594.8,7329.00426
595.2,7383.72172
595.6,7452.89051
596,7541.45024
596.4,7650.08445
596.8,7749.19837
597.2,7862.55292
597.6,7985.88638
598,8121.18727
598.4,8273.41798
598.8,8423.46273
599.2,8575.27461
599.6,8746.10718
600,8920.66596
600.4,9103.94786
600.8,9273.82623
601.2,9473.2423
601.6,9671.85844
602,9846.19702
602.4,10065.91405
602.8,10261.1342
603.2,10467.26734
603.6,10662.36765
604,10862.38731
604.4,11078.42417
604.8,11271.14194
605.2,11473.97267
605.6,11672.86312
606,11876.12659
606.4,12069.05515
606.8,12261.12084
607.2,12451.26852
607.6,12623.19427
608,12816.82307
608.4,12978.59529
608.8,13143.3572
609.2,13296.77686
609.6,13445.79109
610,13600.20363
610.4,13725.59154
610.8,13857.52596
611.2,13982.90719
611.6,14091.40771
612,14205.12419
612.4,14286.92237
612.8,14379.83468
613.2,14454.35678
613.6,14559.1064
614,14584.27973
614.4,14656.49968
614.8,14702.02922
615.2,14746.25224
615.6,14790.57169
616,14815.11627
616.4,14834.80421
616.8,14854.79107
617.2,14868.91095
617.6,14866.94187
618,14854.01569
618.4,14830.47305
618.8,14804.70342
619.2,14779.37374
619.6,14732.35888
620,14688.91367
620.4,14621.44761
620.8,14563.99889
621.2,14483.58167
621.6,14400.35665
622,14296.12833
622.4,14188.48559
622.8,14068.70064
623.2,13954.08095
623.6,13819.34915
624,13689.06729
624.4,13564.1069
624.8,13397.20697
625.2,13254.59184
625.6,13088.53679
626,12913.19018
626.4,12752.51288
626.8,12587.96056
627.2,12408.02954
627.6,12242.78424
628,12070.72276
628.4,11901.41633
628.8,11750.25228
629.2,11568.39938
629.6,11422.19244
630,11262.12616
630.4,11120.08027
630.8,10982.96025
631.2,10846.56443
631.6,10703.66985
632,10586.911
632.4,10486.07305
632.8,10410.79291
633.2,10309.08157
633.6,10231.45736
634,10166.77164
634.4,10105.3123
634.8,10058.03706
635.2,10036.62964
635.6,10008.09657
636,9998.82994
636.4,10018.89975
636.8,10043.43749
637.2,10087.55773
637.6,10138.45038
638,10209.2593
638.4,10296.30668
638.8,10419.9811
639.2,10542.04041
639.6,10706.81612
640,10878.47322
640.4,11082.80592
640.8,11296.64456
641.2,11547.02614
641.6,11819.35048
642,12093.80225
642.4,12424.98476
642.8,12790.51083
643.2,13168.54005
643.6,13594.20875
644,14046.1259
644.4,14548.41819
644.8,15071.79001
645.2,15640.4513
645.6,16261.98391
646,16931.98512
646.4,17634.27702
646.8,18390.97082
647.2,19209.37377
647.6,20080.02212
648,21015.29332
